review_id,date,rating,review_text,platform,app_version,country,city,device,user_segment,subscription_tier,customer_tenure_months,acquisition_channel,language,support_ticket_created,verified_user
REV-000015,2025-12-17,3,"For the last few days, transaction alerts are useful. Need a reliable solution.",iOS,3.2.1,United Kingdom,London,iPhone 15 Pro,Power User,Free,21.0,Referral,English,True,True
REV-000016,2025-09-30,4,"Since yesterday, It would be better if you added PDF statements. Need a reliable solution.",Android,3.1.0,India,Bengaluru,Samsung Galaxy S23,Power User,Free,38.0,Referral,English,False,True
REV-000017,2026-01-25,5,"Honestly, Would be useful if you added multi-currency wallet support. It worked fine last week. Also, support fixed my issue quickly. Need a reliable solution.",Android,3.2.2,United Arab Emirates,Abu Dhabi,OnePlus Nord,New User,Free,2.0,Referral,English,False,True
REV-000018,2025-07-27,1,"On my account, Face ID fails every time. Please fix this.",Android,3.0.0,United Kingdom,London,OnePlus 12,Returning User,Free,6.0,Organic,English,False,True
REV-000019,2026-04-21,3,"Honestly, the session expiry happens too quickly. It worked fine last week. Also, excellent service and reliable transfers. Kindly check asap.",Android,3.3.1,United Arab Emirates,Abu Dhabi,Samsung Galaxy A54,Small Business,Business,16.0,Business Sales,English,False,True
REV-000020,2026-02-23,2,"For the last few days, the refund delayed again. Need a reliable solution.",Android,3.2.2,United Arab Emirates,Dubai,Nothing Phone 2,Power User,Premium,43.0,Referral,English,True,True
REV-000021,2026-03-23,4,"Honestly, payments are fast and reliable now. It worked fine last week. Also, transaction alerts are missing. Hope the next update resolves it.",Android,3.3.0,United States,San Francisco,Nothing Phone 2,Returning User,Free,17.0,Social,English,False,True
REV-000022,2025-11-25,5,"After the latest update, Can you add dark mode. I tried twice on Wi-Fi and mobile data. Also, payments are fast and reliable now. This should be clearer.",Android,3.2.0,India,Hyderabad,Motorola Edge,Returning User,Free,13.0,Social,English,False,False
REV-000023,2026-06-17,3,"Honestly, transaction alerts are missing. Please fix this.",Android,3.4.0,India,Jaipur,Google Pixel 8,Small Business,Premium,47.0,Business Sales,English,False,True
REV-000024,2026-05-13,5,"Honestly, transaction alerts are useful. Need a reliable solution.",iOS,3.4.0,India,Jaipur,iPhone 15,Power User,Premium,28.0,Organic,English,False,
REV-000025,2026-03-31,3,"For the last few days, there is an unexpected charge on my statement. This should be clearer.",Android,3.3.0,India,Ahmedabad,Samsung Galaxy S23,Returning User,Premium,22.0,Referral,English,False,True
REV-000026,2025-09-16,5,the replacement card delivery arrived late,iOS,3.1.0,India,Kolkata,iPhone 15,Returning User,Free,15.0,Social,English,False,True
REV-000027,2025-12-23,2,"Honestly, approval is delayed and I cannot log in. This should be clearer.",Android,3.2.1,United Kingdom,London,Samsung Galaxy S23,New User,Free,0.0,Paid Search,English,True,False
REV-000028,2025-07-19,2,"For the last few days, support fixed the issue but the slow response was frustrating. Need a reliable solution.",Android,3.0.0,India,Ahmedabad,Samsung Galaxy S23,Returning User,Free,11.0,Organic,English,False,True
REV-000029,2025-08-31,4,"Since yesterday, Please add PDF statements.",iOS,3.0.1,India,Bengaluru,iPhone SE,Returning User,Free,19.0,Social,Hinglish,True,True
REV-000030,2026-03-06,3,"On my account, the QR payment failed at checkout. Need a reliable solution.",Android,3.3.0,United Kingdom,London,Samsung Galaxy A54,Returning User,Free,15.0,Social,English,False,True
REV-000031,2026-03-18,2,"Honestly, international conversion fee is excessive.",Android,3.3.0,India,Jaipur,Nothing Phone 2,Power User,Free,30.0,Organic,English,True,True
REV-000032,2026-06-16,5,excellent service and reliable transfers,Android,3.4.0,United Kingdom,Manchester,Xiaomi Redmi Note 13,Returning User,Premium,7.0,Organic,English,False,True
REV-000033,2025-11-14,5,"On my account, the refund arrived much faster than expected. This should be clearer.",Android,3.2.0,India,Bhopal,Samsung Galaxy S23,Small Business,Premium,40.0,Organic,English,False,True
REV-000034,2025-11-29,3,the recipient was not credited,iOS,3.2.0,United Kingdom,Manchester,iPhone SE,Returning User,Free,15.0,Referral,English,False,False
REV-000035,2025-12-24,5,"After the latest update, It would be better if you added a one-tap reorder option for bill payments. Hope the next update resolves it.",Web,3.2.1,India,Pune,Chrome on macOS,Power User,Free,39.0,Referral,English,False,True
REV-000036,2025-09-14,2,"Since yesterday, card declined even though funds are available. I tried twice on Wi-Fi and mobile data. Also, payments are fast and reliable now.",iOS,3.1.0,India,Bhopal,iPhone 14,Power User,Premium,26.0,Partnership,English,False,True
REV-000037,2025-08-21,5,"Since yesterday, the latest version feels smooth and easy to use. Please fix this.",Web,3.0.1,India,Bhopal,Firefox on Linux,Returning User,Premium,16.0,Organic,English,False,True
REV-000038,2025-12-26,1,"For the last few days, I cannot contact support. Need a reliable solution.",iOS,3.2.1,India,Chennai,iPhone 15,Returning User,Premium,13.0,Referral,English,False,True
REV-000039,2025-09-29,4,the QR payment failed at checkout. Need a reliable solution.,Android,3.1.0,United Arab Emirates,Abu Dhabi,Google Pixel 8,New User,Free,1.0,Referral,English,False,True
REV-000040,2026-03-04,5,onboarding was simple,Android,3.3.0,Singapore,Singapore,Nothing Phone 2,Returning User,Premium,8.0,Paid Search,English,False,True
REV-000041,2025-12-15,5,I noticed that card declined at a regular merchant. Need a reliable solution. 😕,Android,3.2.1,India,Bengaluru,Google Pixel 8,Student,Free,18.0,Referral,Informal English,False,True
REV-000042,2026-04-23,5,Wish there was a budgeting dashboard with spending categories,Android,3.3.1,India,Bhopal,Nothing Phone 2,Returning User,Premium,16.0,Referral,English,False,True
REV-000043,2026-03-09,5,"After the latest update, the latest version feels smooth and easy to use. This should be clearer.",iOS,3.3.0,India,Bhopal,iPhone 15,Student,Premium,10.0,Referral,English,False,True
REV-000044,2025-11-08,3,"after the latest update, it would be better if you added csv export for transactions. please fix this.",iOS,3.2.0,India,Hyderabad,iPhone 13,Power User,Free,17.0,Organic,English,False,True
REV-000045,2026-04-23,2,"After the latest update, card declined even though funds are available. The rest of the app is useful. Also, the latest version feels smooth and easy to use. Hope the next update resolves it.",Android,3.3.1,United Kingdom,Manchester,Nothing Phone 2,Power User,Business,18.0,Organic,English,False,True
REV-000046,2026-04-11,3,"Please add PDF statements. This is especially frustrating on a paid plan. Also, the refund arrived much faster than expected.",Android,3.3.1,India,Chennai,Nothing Phone 2,Small Business,Business,31.0,Business Sales,English,False,True
REV-000047,2025-12-04,1,I receive duplicate notification messages,iOS,3.2.1,Singapore,Singapore,iPhone 13,Small Business,Business,31.0,Partnership,English,False,True
REV-000048,2025-10-28,2,Feature request: please add card freeze controls. Hope the next update resolves it.,iOS,3.1.1,India,Pune,iPhone 14,Returning User,Free,14.0,Organic,English,False,True
REV-000049,2026-03-06,5,"On my account, excellent service and reliable transfers. This is especially frustrating on a paid plan. Also, there are too many promotional alerts. Kindly check asap.",Android,3.3.0,India,Kolkata,Nothing Phone 2,Returning User,Free,18.0,Paid Search,English,False,True
REV-000050,2025-08-25,4,"Honestly, support ka reply late mila. This is especially frustrating on a paid plan. Also, the refund arrived much faster than expected. This should be clearer.",Android,3.0.1,India,Chennai,Samsung Galaxy S23,Power User,Free,27.0,Referral,Hinglish,False,True
REV-000051,2025-09-18,3,"On my account, loyalty points are not showing. Hope the next update resolves it.",Android,3.1.0,India,Mumbai,Samsung Galaxy A54,Student,Free,12.0,Campus Campaign,English,False,True
REV-000052,2025-07-03,1,"On my account, the app freeze happens after login. This is especially frustrating on a paid plan. Also, support fixed my issue quickly. Kindly check asap.",Android,3.0.0,United States,New York,OnePlus 12,Returning User,Business,14.0,Paid Search,English,True,True
REV-000053,2026-04-03,5,"Since yesterday, card issue controls are not working. Please fix this.",Web,3.3.1,India,Mumbai,Edge on Windows,Student,Free,10.0,Campus Campaign,English,False,True
REV-000054,2026-03-03,2,I WAS CHARGED TWICE FOR ONE PAYMENT,iOS,3.3.0,United States,New York,iPhone 13,Returning User,Free,12.0,Paid Search,Informal English,True,True
REV-000055,2026-03-10,3,the QR payment failed at checkout,iOS,3.3.0,India,Pune,iPhone 14,New User,Free,3.0,Referral,English,True,True
REV-000056,2026-04-01,5,"On my account, transaction alerts are useful. Please fix this.",iOS,3.3.1,Australia,Melbourne,iPhone 15,Power User,Free,40.0,Organic,English,False,True
REV-000057,2025-12-21,3,"HONESTLY, SUPPORT FIXED MY ISSUE QUICKLY. THIS SHOULD BE CLEARER.",Android,3.2.1,India,Kolkata,Samsung Galaxy A54,Power User,Premium,42.0,Organic,English,False,True
REV-000058,2026-01-30,3,I noticed that selfie verification is not working.,Android,3.2.2,India,Delhi,Xiaomi Redmi Note 13,Student,Free,13.0,Organic,English,False,True
REV-000059,2025-08-25,3,"Since yesterday, Would be useful if you added multi-currency wallet support. This happened while paying a bill. Also, support fixed my issue quickly. This should be clearer!",Android,3.0.1,India,Delhi,Google Pixel 8,Student,Free,16.0,Campus Campaign,English,False,True
REV-000060,2025-08-15,5,I noticed that excellent service and reliable transfers. Kindly check asap.,Android,3.0.1,United Kingdom,Manchester,Nothing Phone 2,Returning User,Free,10.0,Organic,English,False,True
REV-000061,2026-03-04,4,"I noticed that I was charged twice for one payment. The rest of the app is useful. Also, support fixed my issue quickly. Need a reliable solution.",Android,3.3.0,India,Ahmedabad,Google Pixel 8,New User,Free,1.0,Referral,English,False,True
REV-000062,2025-12-24,4,"I noticed that It would be better if you added a budgeting dashboard with spending categories. I tried twice on Wi-Fi and mobile data. Also, support fixed my issue quickly. Hope the next update resolves it.",Android,3.2.1,Australia,Sydney,OnePlus 12,Student,Free,13.0,Referral,English,False,True
REV-000063,2026-01-29,5,the replacement card delivery arrived late!,Android,3.2.2,United Arab Emirates,Abu Dhabi,OnePlus 12,Power User,Premium,19.0,Partnership,Informal English,False,True
REV-000064,2026-03-25,4,"For the last few days, Feature request: please add multi-currency wallet support. Need a reliable solution.",Android,3.3.0,India,Bengaluru,Motorola Edge,Small Business,Business,35.0,Business Sales,English,False,True
REV-000065,2026-02-24,1,"On my account, support ka reply late mila. This should be clearer.",Android,3.2.2,India,Pune,OnePlus Nord,Returning User,Premium,16.0,Organic,Hinglish,False,True
REV-000066,2026-01-24,5,"For the last few days, Feature request: please add scheduled delivery for recurring payments. Kindly check asap.",iOS,3.2.2,India,Ahmedabad,iPhone 15 Pro,New User,Premium,3.0,Referral,English,False,True
REV-000067,2026-01-27,5,"I noticed that payments are fast and reliable now. The rest of the app is useful. Also, I receive duplicate notification messages. This should be clearer.",Android,3.2.2,India,Bengaluru,Google Pixel 8,Small Business,Business,30.0,Business Sales,English,False,True
REV-000068,2025-11-04,4,"Since yesterday, Add support for PDF statements. Hope the next update resolves it.",Web,3.2.0,India,Mumbai,Chrome on macOS,Returning User,Free,4.0,Social,English,False,True
REV-000069,2025-07-14,1,"Since yesterday, payment pending hai aur money deducted. Please fix this.",iOS,3.0.0,India,Kolkata,iPhone 13,Student,Free,14.0,Referral,Hinglish,False,True
REV-000070,2025-12-15,4,"For the last few days, support fixed my issue quickly. Need a reliable solution.",Android,3.2.1,India,Delhi,Samsung Galaxy S23,New User,Free,1.0,Paid Search,English,False,False
REV-000071,2025-09-24,5,onboarding was simple. Please fix this.,Android,3.1.0,United Kingdom,London,Google Pixel 8,Returning User,Free,22.0,Organic,English,False,True
REV-000072,2025-12-09,4,the update installation keeps failing,iOS,3.2.1,India,Bhopal,iPhone 15,Returning User,Free,16.0,Organic,English,False,True
REV-000073,2026-04-30,3,support was unhelpful and sent a generic reply,iOS,3.3.1,India,Delhi,iPhone 13,Returning User,Premium,5.0,Referral,English,True,True
REV-000074,2025-10-02,3,"Honestly, Please add PDF statements.",Android,3.1.1,United States,San Francisco,OnePlus 12,Power User,Premium,30.0,Referral,English,True,False
REV-000075,2025-07-24,3,the transfer fee is too high.,iOS,3.0.0,India,Delhi,iPhone 15,Small Business,Business,18.0,Organic,English,True,True
REV-000076,2025-10-24,3,"Honestly, OTP nahi aa raha, cannot log in. This happened while paying a bill. Also, the refund arrived much faster than expected. Please fix this.",iOS,3.1.1,United Kingdom,Manchester,iPhone 14,Returning User,Free,6.0,Organic,Hinglish,False,True
REV-000077,2025-10-30,5,"For the last few days, great app and the interface is clean. It worked fine last week. Also, there are too many promotional alerts. Kindly check asap.",iOS,3.1.1,United Kingdom,Manchester,iPhone 14,Returning User,Premium,9.0,Paid Search,English,False,True
REV-000078,2026-03-02,3,small order fee makes no sense. Need a reliable solution.,Android,3.3.0,India,Bengaluru,OnePlus 12,New User,Premium,3.0,Paid Search,English,False,True
REV-000079,2026-01-26,5,great app and the interface is clean,Android,3.2.2,United States,New York,Motorola Edge,Returning User,Free,16.0,Organic,English,False,True
REV-000080,2026-04-02,2,"After the latest update, Please add PDF statements. Need a reliable solution.",iOS,3.3.1,India,Bhopal,iPhone 15 Pro,Power User,Free,35.0,Organic,English,True,True
REV-000081,2026-03-03,3,"Honestly, battery drain is much worse now. Kindly check asap.",Android,3.3.0,India,Hyderabad,Xiaomi Redmi Note 13,Power User,Premium,29.0,Referral,English,True,True
REV-000082,2025-12-08,1,"For the last few days, the refund is still pending. Need a reliable solution.",Android,3.2.1,India,Bhopal,Nothing Phone 2,New User,Free,2.0,Referral,English,True,True
REV-000083,2026-04-16,2,my card freeze button not working,Android,3.3.1,India,Ahmedabad,Xiaomi Redmi Note 13,Returning User,Free,8.0,Organic,English,True,True
REV-000084,2025-09-04,3,I noticed that I was charged twice for one payment. Please fix this.,Android,3.1.0,India,Jaipur,OnePlus Nord,Returning User,Premium,18.0,Organic,English,True,True
REV-000085,2025-07-10,3,I noticed that support fixed the issue but the slow response was frustrating. Need a reliable solution.,Android,3.0.0,India,Bengaluru,Xiaomi Redmi Note 13,Small Business,Business,27.0,Business Sales,English,False,True
REV-000086,2025-08-06,2,app baar baar crash ho rahi hai after update,Android,3.0.1,United Kingdom,London,Samsung Galaxy S23,Small Business,Business,43.0,Partnership,Hinglish,True,True
REV-000087,2026-03-13,2,"After the latest update, the transfer is still payment pending. Hope the next update resolves it.",Android,3.3.0,United States,San Francisco,Samsung Galaxy S23,Returning User,Free,16.0,Organic,English,True,True
REV-000088,2025-12-22,3,"After the latest update, the app crashes on startup. Kindly check asap.",Web,3.2.1,India,Mumbai,Chrome on Windows,New User,Premium,2.0,Social,English,False,True
REV-000089,2025-09-02,2,battery drain is much worse now,iOS,3.1.0,India,Hyderabad,iPhone 15 Pro,New User,Free,0.0,Paid Search,English,False,True
REV-000090,2026-01-04,3,"OTP nahi aa raha, cannot log in",Android,3.2.1,Australia,Sydney,Google Pixel 8,Returning User,Premium,7.0,Referral,Hinglish,True,True
REV-000091,2025-08-30,2,"After the latest update, an unrecognized transaction appeared. Please fix this.",Android,3.0.1,Australia,Sydney,OnePlus 12,Small Business,Free,40.0,Business Sales,English,True,True
REV-000092,2026-03-09,1,I noticed that charges bahut high hain for this transfer. Hope the next update resolves it.,iOS,3.3.0,India,Ahmedabad,iPhone 14,Returning User,Free,11.0,Organic,Hinglish,False,True
REV-000093,2025-12-17,4,the refund is still pending,Android,3.2.1,United States,San Francisco,Samsung Galaxy A54,Returning User,Free,24.0,Organic,English,False,True
REV-000094,2025-12-02,4,membership benefit is missing,iOS,3.2.1,United States,San Francisco,iPhone SE,New User,Free,2.0,Organic,English,True,True
REV-000095,2025-11-03,1,I noticed that subscription pricing is unclear. Hope the next update resolves it.,Android,3.2.0,India,Kolkata,Google Pixel 8,Returning User,Premium,7.0,Paid Search,English,True,True
REV-000096,2026-02-23,2,"Since yesterday, Add support for dark mode.",Android,3.2.2,India,Hyderabad,Samsung Galaxy S23,Student,Free,5.0,Social,English,True,True
REV-000097,2025-11-27,1,"Since yesterday, I cannot contact support. Need a reliable solution.",Android,3.2.0,United States,San Francisco,Samsung Galaxy S23,Power User,Free,45.0,Referral,English,True,True
REV-000098,2025-08-05,4,"On my account, the QR payment failed at checkout. Kindly check asap.",Android,3.0.1,India,Pune,OnePlus Nord,Student,Free,1.0,Social,English,False,True
REV-000099,2025-08-17,4,"For the last few days, Please add CSV export for transactions. Kindly check asap.",Android,3.0.1,India,Bhopal,Nothing Phone 2,Returning User,Free,8.0,Referral,English,False,True
REV-000100,2026-06-13,1,"After the latest update, device verification keeps repeating. Hope the next update resolves it.",Android,3.4.0,United Arab Emirates,Abu Dhabi,Google Pixel 8,Student,Free,16.0,Campus Campaign,English,True,True
REV-000101,2026-05-19,5,"On my account, onboarding was simple.",iOS,3.4.0,India,Bengaluru,iPhone 13,Returning User,Premium,15.0,Paid Search,English,False,True
REV-000102,2026-03-09,4,"On my account, the latest version feels smooth and easy to use. Kindly check asap.",Android,3.3.0,India,Hyderabad,OnePlus 12,Student,Free,2.0,Social,English,False,True
REV-000103,2025-10-17,4,"After the latest update, excellent service and reliable transfers. Also, there are too many promotional alerts. Need a reliable solution.",iOS,3.1.1,India,Hyderabad,iPhone 15 Pro,Returning User,Premium,17.0,Organic,English,False,True
REV-000104,2026-06-17,5,I noticed that excellent service and reliable transfers. Please fix this.,Android,3.4.0,India,Mumbai,OnePlus 12,New User,Free,1.0,Organic,English,False,True
REV-000105,2026-03-31,2,"Since yesterday, payment failed but money deducted. Hope the next update resolves it.",Android,3.3.0,India,Bhopal,Motorola Edge,Student,Premium,9.0,Social,English,True,True
REV-000106,2026-03-12,1,checkout failed during bill payment. Need a reliable solution.,iOS,3.3.0,India,Bhopal,iPhone 15 Pro,Returning User,Premium,9.0,Organic,English,True,True
REV-000107,2025-12-18,4,"For the last few days, the session expiry happens too quickly. Need a reliable solution.",iOS,3.2.1,India,Jaipur,iPhone 13,Student,Free,1.0,Campus Campaign,English,True,False
REV-000108,2025-10-20,5,"Since yesterday, card issue controls are not working. This should be clearer.",Android,3.1.1,India,Ahmedabad,OnePlus Nord,Power User,Premium,23.0,Organic,English,True,True
REV-000109,2025-08-08,4,I noticed that support fixed my issue quickly. Kindly check asap.,iOS,3.0.1,India,Hyderabad,iPhone 14,New User,Free,2.0,Social,English,False,True
REV-000110,2026-05-16,5,"For the last few days, the latest version feels smooth and easy to use. Hope the next update resolves it.",Android,3.4.0,India,Jaipur,OnePlus Nord,Small Business,Business,31.0,Business Sales,English,False,True
REV-000111,2025-12-20,4,subscription pricing is unclear. Hope the next update resolves it.,iOS,3.2.1,United Arab Emirates,Dubai,iPhone 14,Returning User,Free,13.0,Organic,English,False,True
REV-000112,2025-09-19,4,I noticed that the transfer fee is too high. Kindly check asap.,iOS,3.1.0,India,Kolkata,iPhone SE,Power User,Free,43.0,Referral,English,False,True
REV-000113,2025-11-05,2,delivery status not updating,Android,3.2.0,India,Hyderabad,Xiaomi Redmi Note 13,Returning User,Free,12.0,Referral,English,False,True
REV-000114,2026-02-03,3,subscription pricing is unclear,iOS,3.2.2,India,Chennai,iPhone 15,New User,Premium,3.0,Paid Search,English,True,True
REV-000115,2025-09-09,3,"Since yesterday, Add support for team access and permissions. Need a reliable solution.",Android,3.1.0,Australia,Sydney,Nothing Phone 2,Small Business,Free,36.0,Partnership,English,False,True
REV-000116,2026-05-01,4,"Since yesterday, the refund arrived much faster than expected. Hope the next update resolves it.",Android,3.4.0,India,Ahmedabad,Samsung Galaxy A54,Returning User,Premium,12.0,Paid Search,English,False,True
REV-000117,2026-03-23,3,"Honestly, the update installation keeps failing. Kindly check asap.",Android,3.3.0,India,Delhi,OnePlus Nord,Returning User,Premium,16.0,Organic,English,True,True
REV-000118,2026-03-12,1,subscription pricing changed unexpectedly,Android,3.3.0,India,Bhopal,Samsung Galaxy S23,Returning User,Premium,8.0,Organic,English,True,True
REV-000119,2025-12-14,3,"After the latest update, there is an unexpected charge on my statement. This should be clearer.",iOS,3.2.1,United States,New York,iPhone SE,Power User,Free,40.0,Referral,English,False,True
REV-000120,2026-02-21,2,"HONESTLY, CAN YOU ADD A BUDGETING DASHBOARD WITH SPENDING CATEGORIES. KINDLY CHECK ASAP.",iOS,3.2.2,United Arab Emirates,Abu Dhabi,iPhone 14,New User,Free,2.0,Referral,Informal English,False,True
REV-000121,2026-02-05,2,my account blocked without an explanation,Android,3.2.2,India,Kolkata,Samsung Galaxy S23,Student,Free,1.0,Campus Campaign,English,True,True
REV-000122,2026-02-28,3,"After the latest update, Can you add recurring transfers. This should be clearer.",iOS,3.2.2,Australia,Melbourne,iPhone 15 Pro,New User,Premium,0.0,Paid Search,English,True,True
REV-000123,2025-08-04,2,"I noticed that my card freeze button not working. This is especially frustrating on a paid plan. Also, the refund arrived much faster than expected.",Android,3.0.1,India,Bengaluru,Nothing Phone 2,Returning User,Premium,7.0,Organic,English,False,True
REV-000124,2025-12-10,3,"since yesterday, the screen goes blank after the latest update. please fix this.",iOS,3.2.1,United States,New York,iPhone 15,Returning User,Free,23.0,Referral,English,False,True
REV-000125,2025-07-18,4,the update installation keeps failing,Web,3.0.0,India,Bengaluru,Firefox on Linux,Returning User,Free,16.0,Social,English,False,True
REV-000126,2026-01-01,2,"Honestly, the recipient was not credited. Kindly check asap.",Android,3.2.1,India,Hyderabad,Samsung Galaxy S23,New User,Premium,0.0,Paid Search,English,False,True
REV-000127,2025-11-16,3,I noticed that It would be better if you added home-screen widgets. This should be clearer.,Web,3.2.0,United Kingdom,Manchester,Firefox on Linux,Returning User,Business,16.0,Paid Search,English,False,True
REV-000128,2025-08-27,4,"Since yesterday, It would be better if you added family account access. The rest of the app is useful. Also, the latest version feels smooth and easy to use. This should be clearer.",iOS,3.0.1,India,Pune,iPhone 14,Student,Free,6.0,Referral,English,False,True
REV-000129,2025-08-11,1,"On my account, there are too many promotional alerts. The rest of the app is useful. Also, support fixed my issue quickly. Kindly check asap.",iOS,3.0.1,India,Ahmedabad,iPhone 13,Returning User,Free,9.0,Referral,English,True,True
REV-000130,2026-02-06,5,"  On my account, international conversion fee is excessive. This should be clearer.  ",Android,3.2.2,India,Bhopal,Samsung Galaxy S23,Power User,Free,40.0,Organic,English,False,True
REV-000131,2025-09-06,1,the payment notification arrived late,Android,3.1.0,India,Bengaluru,Google Pixel 8,New User,Free,1.0,Organic,English,False,True
REV-000132,2026-05-26,1,"For the last few days, merchant payment took hours to confirm. This is especially frustrating on a paid plan. Also, the latest version feels smooth and easy to use. Kindly check asap.",Web,3.4.0,India,Hyderabad,Chrome on Windows,Returning User,Premium,7.0,Organic,English,True,True
REV-000133,2026-02-04,5,Please add PDF statements,Android,3.2.2,United Arab Emirates,Dubai,Google Pixel 8,Student,Free,18.0,Referral,English,False,True
REV-000134,2025-11-22,3,"For the last few days, there are too many promotional alerts. Please fix this.",Android,3.2.0,India,Ahmedabad,Samsung Galaxy A54,Returning User,Free,16.0,Referral,English,False,True
REV-000135,2026-02-08,4,"After the latest update, Add support for scheduled delivery for recurring payments. Kindly check asap.",Android,3.2.2,India,Kolkata,Google Pixel 8,New User,Free,0.0,Social,English,False,True
REV-000136,2025-07-10,3,support fixed the issue but the slow response was frustrating,Android,3.0.0,India,Ahmedabad,OnePlus Nord,New User,Premium,2.0,Social,English,False,True
REV-000137,2026-06-11,5,I noticed that document upload has a UI bug. Hope the next update resolves it.,Android,3.4.0,United States,San Francisco,Samsung Galaxy A54,Small Business,Free,40.0,Partnership,English,False,True
REV-000138,2025-12-28,1,card declined even though funds are available. Kindly check asap.,iOS,3.2.1,United Kingdom,London,iPhone 14,Returning User,Free,6.0,Social,English,True,True
REV-000139,2026-04-02,1,I noticed that transaction alerts are missing. Kindly check asap.,Android,3.3.1,India,Bhopal,OnePlus 12,Returning User,Premium,12.0,Referral,English,True,True
REV-000140,2025-08-03,4,"For the last few days, the latest version feels smooth and easy to use. Need a reliable solution.",Android,3.0.1,India,Mumbai,Xiaomi Redmi Note 13,Power User,Free,23.0,Referral,English,False,True
REV-000141,2025-12-30,4,"After the latest update, the transfer is still payment pending. The rest of the app is useful. Also, payments are fast and reliable now. Need a reliable solution.",Android,3.2.1,India,Delhi,Xiaomi Redmi Note 13,Power User,Free,47.0,Referral,English,False,True
REV-000142,2025-12-31,4,merchant payment took hours to confirm,iOS,3.2.1,India,Ahmedabad,iPhone 15,Returning User,Free,20.0,Organic,English,False,True
REV-000143,2026-06-02,3,I cannot cancel the transfer,iOS,3.4.0,India,Delhi,iPhone SE,Power User,Free,31.0,Partnership,English,True,True
REV-000144,2026-02-01,4,"After the latest update, OTP nahi aa raha, cannot log in. Need a reliable solution.",Android,3.2.2,United Arab Emirates,Abu Dhabi,Xiaomi Redmi Note 13,Student,Free,18.0,Referral,Hinglish,False,True
REV-000145,2025-12-25,1,"Since yesterday, the app crash opens transaction history. Please fix this.",Android,3.2.1,India,Pune,Xiaomi Redmi Note 13,Returning User,Free,23.0,Organic,English,False,True
REV-000146,2025-10-17,1,"Since yesterday, I receive duplicate notification messages.",iOS,3.1.1,India,Mumbai,iPhone 13,Power User,Premium,21.0,Partnership,English,False,True
REV-000147,2025-11-17,1,"For the last few days, the app asks for device verification again.",Android,3.2.0,United States,New York,Xiaomi Redmi Note 13,New User,Free,2.0,Organic,English,False,True
